epoch,train.loss,train.fpr,train.fnr,val.loss,val.fpr,val.fnr
1,0.7020139694213867,0.6923076923076923,0.391304347826087,2.3060250282287598,0.0,1.0
2,2.1680004596710205,0.0,1.0,3.465731143951416,1.0,0.0
3,2.6836977005004883,1.0,0.0,0.8458386659622192,0.0,1.0
4,1.0179139375686646,0.0,1.0,1.8329851627349854,1.0,0.0
5,1.6560720205307007,1.0,0.0,0.6974552869796753,0.2857142857142857,0.6666666666666666
6,0.6288049817085266,0.15384615384615385,0.43478260869565216,0.7306002378463745,0.42857142857142855,0.6666666666666666
7,0.582004964351654,0.46153846153846156,0.043478260869565216,0.7331901788711548,0.42857142857142855,0.6666666666666666
8,0.5493885278701782,0.11538461538461539,0.21739130434782608,0.9411982297897339,0.5714285714285714,0.6666666666666666
9,0.4803209602832794,0.38461538461538464,0.043478260869565216,1.3417818546295166,0.0,1.0
10,1.0582865476608276,0.0,0.7391304347826086,1.3602960109710693,0.8571428571428571,0.6666666666666666
11,0.860034704208374,0.65GG38461538461539,0.043478260869565216,0.6213364601135254,0.0,1.0
12,0.5816410779953003,0.0,0.6956521739130435,0.615834653377533,0.0,1.0
13,0.5729397535324097,0.0,0.6956521739130435,0.6129149198532104,0.0,1.0
14,0.5626948475837708,0.0,0.6086956521739131,0.6411939859390259,0.2857142857142857,1.0
15,0.49697214365005493,0.19230769230769232,0.2608695652173913,0.7802659869194031,0.42857142857142855,0.6666666666666666
16,0.43963420391082764,0.23076923076923078,0.17391304347826086,0.9270955324172974,0.0,1.0
17,0.5969686508178711,0.0,0.5652173913043478,5.2237443923950195,1.0,0.0
18,3.499709129333496,1.0,0.0,0.6178848743438721,0.0,1.0
19,0.6847465634346008,0.0,0.8695652173913043,0.6237059831619263,0.0,1.0
20,0.6005992889404297,0.0,0.782608695652174,0.7972896099090576,0.42857142857142855,0.6666666666666666
21,0.5570458173751831,0.4230769230769231,0.30434782608695654,0.6933354139328003,0.2857142857142857,0.6666666666666666
22,0.5161135196685791,0.11538461538461539,0.43478260869565216,1.170453429222107,0.7142857142857143,0.6666666666666666
23,0.6925336718559265,0.6538461538461539,0.043478260869565216,0.629142701625824,0.0,1.0
24,0.7752255797386169,0.0,0.9130434782608695,0.6288131475448608,0.0,1.0
25,0.7329655289649963,0.0,0.8695652173913043,0.6253679394721985,0.0,1.0
26,0.7336249351501465,0.0,0.8695652173913043,0.6214100122451782,0.0,1.0
27,0.7393726706504822,0.0,0.9130434782608695,0.6137824058532715,0.0,1.0
28,0.6707345843315125,0.0,0.8695652173913043,0.6522420644760132,0.2857142857142857,1.0
29,0.6377192735671997,0.34615384615384615,0.4782608695652174,0.6377449035644531,0.0,1.0
30,0.5895235538482666,0.0,0.6521739130434783,0.7685972452163696,0.5714285714285714,0.3333333333333333
31,0.6043479442596436,0.7307692307692307,0.08695652173913043,0.6707693338394165,0.0,1.0
32,0.6823384165763855,0.0,0.8260869565217391,0.6189960241317749,0.0,1.0
33,0.6088194847106934,0.0,0.7391304347826086,0.6264422535896301,0.0,1.0
34,0.5905801653862,0.0,0.782608695652174,0.6480814218521118,0.0,1.0
35,0.5373566746711731,0.0,0.6086956521739131,0.67936772108078,0.2857142857142857,1.0
36,0.4535335302352905,0.15384615384615385,0.2608695652173913,0.6940210461616516,0.0,1.0
37,0.40646493434906006,0.07692307692307693,0.34782608695652173,0.8486730456352234,0.0,1.0
38,0.4725778102874756,0.07692307692307693,0.43478260869565216,0.847511887550354,0.5714285714285714,0.6666666666666666
39,0.5441654920578003,0.4230769230769231,0.08695652173913043,1.225417137145996,0.0,1.0
40,0.5176448822021484,0.0,0.43478260869565216,0.7391975522041321,0.42857142857142855,0.6666666666666666
41,0.491448312997818,0.2692307692307692,0.17391304347826086,0.6416226625442505,0.0,1.0
42,0.3604726493358612,0.0,0.2608695652173913,0.7374778985977173,0.0,1.0
43,0.37443938851356506,0.15384615384615385,0.2608695652173913,0.7835640907287598,0.14285714285714285,1.0
44,0.3244841694831848,0.15384615384615385,0.21739130434782608,0.9389966726303101,0.0,1.0
45,0.3008641302585602,0.038461538461538464,0.21739130434782608,1.0209877490997314,0.0,1.0
46,0.30730944871902466,0.038461538461538464,0.17391304347826086,0.8697004318237305,0.14285714285714285,1.0
47,0.239542156457901,0.038461538461538464,0.13043478260869565,1.0901532173156738,0.14285714285714285,1.0
48,0.09140338748693466,0.0,0.08695652173913043,1.501370906829834,0.14285714285714285,1.0
49,33.145599365234375,0.0,0.17391304347826086,3882.875,1.0,0.0
50,334.6281433105469,0.9230769230769231,0.0,2248.066162109375,0.0,1.0
51,2853.280029296875,0.0,1.0,39775906037760.0,1.0,0.0
52,33627024916480.0,1.0,0.0,nan,0.0,1.0
53,nan,0.0,1.0,nan,0.0,1.0
54,nan,0.0,1.0,nan,0.0,1.0
55,nan,0.0,1.0,nan,0.0,1.0
56,nan,0.0,1.0,nan,0.0,1.0
57,nan,0.0,1.0,nan,0.0,1.0
58,nan,0.0,1.0,nan,0.0,1.0
59,nan,0.0,1.0,nan,0.0,1.0
60,nan,0.0,1.0,nan,0.0,1.0
61,nan,0.0,1.0,nan,0.0,1.0
62,nan,0.0,1.0,nan,0.0,1.0
63,nan,0.0,1.0,nan,0.0,1.0
64,nan,0.0,1.0,nan,0.0,1.0
65,nan,0.0,1.0,nan,0.0,1.0
66,nan,0.0,1.0,nan,0.0,1.0
67,nan,0.0,1.0,nan,0.0,1.0
68,nan,0.0,1.0,nan,0.0,1.0
69,nan,0.0,1.0,nan,0.0,1.0
70,nan,0.0,1.0,nan,0.0,1.0
71,nan,0.0,1.0,nan,0.0,1.0
72,nan,0.0,1.0,nan,0.0,1.0
73,nan,0.0,1.0,nan,0.0,1.0
74,nan,0.0,1.0,nan,0.0,1.0
75,nan,0.0,1.0,nan,0.0,1.0
76,nan,0.0,1.0,nan,0.0,1.0
77,nan,0.0,1.0,nan,0.0,1.0
78,nan,0.0,1.0,nan,0.0,1.0
79,nan,0.0,1.0,nan,0.0,1.0
80,nan,0.0,1.0,nan,0.0,1.0
81,nan,0.0,1.0,nan,0.0,1.0
82,nan,0.0,1.0,nan,0.0,1.0
83,nan,0.0,1.0,nan,0.0,1.0
84,nan,0.0,1.0,nan,0.0,1.0
85,nan,0.0,1.0,nan,0.0,1.0
86,nan,0.0,1.0,nan,0.0,1.0
87,nan,0.0,1.0,nan,0.0,1.0
88,nan,0.0,1.0,nan,0.0,1.0
89,nan,0.0,1.0,nan,0.0,1.0
90,nan,0.0,1.0,nan,0.0,1.0
91,nan,0.0,1.0,nan,0.0,1.0
92,nan,0.0,1.0,nan,0.0,1.0
93,nan,0.0,1.0,nan,0.0,1.0
94,nan,0.0,1.0,nan,0.0,1.0
95,nan,0.0,1.0,nan,0.0,1.0
96,nan,0.0,1.0,nan,0.0,1.0
97,nan,0.0,1.0,nan,0.0,1.0
98,nan,0.0,1.0,nan,0.0,1.0
99,nan,0.0,1.0,nan,0.0,1.0
100,nan,0.0,1.0,nan,0.0,1.0
